O3,PM10,PM2.5,PM2.5Diff,DayWeek,Hour,PRS,RAINF,RH,SR,TOUT,WSR,WDV,CONT
30,131,30,12,4,11,727.2,0,63,0.62,13.39,10.2,120,0
31,74,21,15,4,17,717.9,0,73,0.168,22.86,4.9,121,0
14,58,25,1,2,23,715.7,0,41,0,23.01,4.5,354,0
10,95,34,6,6,1,718.1,0,92,0.016,22.16,5.5,85,0
28,69,20,5,6,15,718.9,0,40,0.718999982,33.47,15.2,127,0
54,45,14,16,1,14,717.3,0,35,0.775,35.25,7.5,28,0
32,29,23,30,3,11,721.3,0,65,0.827,30.07,9.2,63,0
48,67,16,8,2,17,715.4,0,36,0.226,34.41,10.4,84,0
19,132,32,8,3,22,718.2,0,48,0,19,10.6,105,0
14,57,37,16,3,23,720.6,0,82,0,23.43,2.9,50,0
9,101,27,20,6,8,716.4,0,94,0.03,23.14,10,93,0
38,35,10,1,3,19,720.3,0,43,0.001,20.64,10.7,20,0
28,86,20,1,2,22,717.3,0,54,0,28.9,11,95,0
27,80,33,5,7,19,719,0,69,0.011,28.92,7.3,92,0
8,20,16,9,3,22,727.1,0,94,0,5.51,7.9,101,0
10,94,23,12,3,22,721.2,0,73,0,26.23,8.2,67,0
3,134,34,23,6,6,726.1,0,65,0.001,14.87,2.3,332,0
10,17,16,4,4,3,716.3,0,95,0,4.32,5.6,356,0
4,101,22,14,4,1,727.1,0,86,0,11.99,3.4,355,0
31,95,26,1,6,16,718.8,0,64,0.338,26.68,12.9,127,0
18,34,12,1,5,22,723.7,0,88,0,7.58,11.7,3,0
5,84,35,13,4,3,722.1,0,95,0,8.36,1.1,271,0
3,160,26,35,6,7,719.7,0,96,0.042,19.36,2.3,321,0
54,75,39,18,5,16,719.6,0,52,0.355,22.34,9.8,119,0
18,108,30,15,5,18,717.2,0,68,0.009,28.23,6.1,118,0
16,101,9,6,1,3,717.9,0,81,0,24.1,5.3,307,0
7,80,33,27,7,0,720.7,0.12,95,0,19.36,5.2,335,0
92,89,29,5,3,15,715.5,0,34,0.458,29.58,8.4,93,0
12,99,23,4,6,23,716.5,0,70,0.001,28.29,11.2,67,0
29,131,23,19,7,18,715.5,0,48,0.007,26.34,9.9,132,0
50,93,5,12,5,14,717.3,0,68,0.395,29.05,3.9,110,0
22,68,28,5,4,18,714.9,0,71,0.041,26.15,8.2,119,0
14,36,9,7,3,6,716.4,0.01,96,0.108,19.98,10.3,86,0
15,53,17,12,5,3,725.3,0,82,0.001,8.04,3.6,12,0
6,73,19,2,6,5,720.7,0,78,0,24.18,3.3,25,0
36,78,22,16,4,12,716.1,0,77,0.573,26.35,4.2,57,0
25,49,27,6,2,18,716,0,45,0.077,33.97,12.7,121,0
14,73,15,16,2,1,724.7,0,92,0,11.28,5,94,0
26,87,22,8,6,9,720.9,0,76,0.310000002,25.31,4.8,12,0
12,82,36,14,4,5,716.6,0,93,0,17.9,5.3,322,0
38,48,15,8,7,16,718.1,0,64,0.402,25.17,12.1,101,0
59,105,32,21,2,14,717.5,0,54,0.813000023,32.7,10.7,104,0
39,112,19,15,4,15,716,0,69,0.517,25.66,13.1,126,0
24,40,25,3,4,11,716.8,0,82,0.493,24.89,5.1,13,0
6,21,8,0,3,20,726.9,0,94,0,5.82,8.5,108,0
25,128,25,17,4,18,717,0,44,0.101000004,31.34,16.4,120,0
20,27,6,18,2,8,718.1,0.01,96,0.035,19.7,10.7,87,0
74,92,17,2,6,17,722.5,0,26,0.233,24.88,10.7,117,0
21,79,18,11,3,20,716.6,0,36,0,33.26,11.1,128,0
10,116,25,1,2,1,721.5,0,85,0,19.86,1.1,182,0
32,86,31,1,5,17,716.5,0,48,0.331,33.23,12.8,123,0
6,66,38,22,6,9,727,0,88,0.034,6.81,4.3,323,0
38,92,13,4,2,16,715,0,64,0.142,21.83,12.2,105,0
22,31,19,3,7,4,728.5,0,62,0,6.77,4.4,44,0
6,187,37,17,4,2,723,0,54,0.001,15.41,1.5,304,0
22,43,10,1,2,1,718.7,0,75,0,24.11,4.7,43,0
3,95,35,10,4,0,717.3,0,68,0,20.63,2.1,5,0
18,90,9,1,3,3,719.5,0,94,0,18.98,6.1,82,0
17,49,25,11,2,9,718.1,0,83,0.121,22.34,6.1,341,0
27,121,9,24,3,18,727,0,66,0,15.22,5.5,101,0
12,208,32,9,3,9,725.5,0,44,0.277,19.45,2.7,319,0
8,33,22,4,6,18,722.8,0.01,95,0.002,6.22,8.1,108,0
18,123,36,15,3,19,718,0,72,0,22.77,8.1,102,0
6,50,25,15,2,18,726.4,0,84,0.124,5.68,7.6,348,0
5,109,24,9,3,6,717.7,0,96,0.001,19.22,4.9,103,0
22,88,18,6,2,20,719.3,0,47,0,22.23,8.2,97,0
22,103,19,9,6,19,719,0,76,0,24.06,9.1,114,0
20,67,34,22,5,13,719.2,0,80,0.069,15.09,13.9,359,0
14,46,12,5,5,20,728.1,0,92,0,10.17,10.2,120,0
9,92,15,4,5,7,718.2,0,84,0.062,24.78,5.2,64,0
14,54,11,9,3,14,719.5,0.02,94,0.073,16.02,7.4,130,0
25,35,8,38,4,23,721.8,0,68,0,27,11.7,86,0
17,47,32,16,5,9,720.6,0,78,0.238999993,24.25,4.8,78,0
42,20,6,7,5,0,720.6,0,51,0,18.21,6.3,115,0
9,86,16,24,6,3,719.4,0,83,0,14.52,0.9,319,0
45,63,6,6,6,11,726,0,40,0.68,21.68,5,42,0
14,125,7,25,3,22,718.5,0,76,0,22.06,7.8,128,0
36,68,14,2,2,14,730.9,0,63,0.278,12.6,8.1,100,0
51,22,8,6,1,12,718.6,0,40,0.89,33.42,6.3,324,0
46,46,16,11,4,19,719.9,0,49,0.001,20.67,12.9,121,0
28,31,18,4,5,3,734.1,0,74,0.034,6.08,10.5,6,0
23,85,30,4,7,7,720.9,0,93,0.026,17.27,3.3,85,0
38,59,9,8,5,12,722.1,0,60,0.735,20.86,4,12,0
16,66,18,13,2,9,720.4,0,80,0.279,24.87,4.6,37,0
13,45,11,5,1,2,719.1,0,84,0,23.61,4.2,340,0
21,91,23,9,5,19,714.6,0,35,0.006,35.23,12.8,133,0
8,77,5,25,1,5,721.8,0,96,0,14.09,1.3,350,0
28,70,35,11,3,13,717.6,0,74,0.598,28.34,11.2,123,0
5,135,7,62,7,8,716.5,0,90,0.093,16.29,2.3,17,0
11,51,29,19,1,22,718.5,0,68,0,28.5,13.4,103,0
20,78,11,3,3,18,720.4,0,85,0.009,19.17,8.7,118,0
30,74,23,2,5,10,718.8,0,73,0.507000029,27.18,5.4,57,0
28,146,40,13,5,16,716.6,0,72,0.219,23.5,10.8,111,0
18,81,19,8,4,9,715.2,0,69,0.545,28.93,4.6,349,0
